S/N,Project,Project Description,Project Type,Preliminary Cost Estimate(=N=),Preliminary Cost/m2,Initial Contract Sum,Actual Project Cost at Completion,Site Area(m2),Total Gross Floor Area(m2),Total No. of Floors,Floor-to-floor height(m),Ground Floor Area(m2),No of Basements,Total Basement Area(m2),Project Start Date,Project End Date,Planned Project Duration (weeks),Actual Project Duration (weeks),Contractor Grade,
1,Office Building,Office Block,Commercial,75000000,,74550500,74900000,609.844,648,3,,216,0,0,10/02/2017,01/03/2018,48,54.85714286,,
2,Residential Development,Block of Residential Apartments,Residential,60000000,,58250500,58250500,4121.56,765.51,2,,391.2,0,0,29/10/2018,15/04/2019,24,24,,
3,Residential Development,Semi-detached Duplex,Residential,75000000,120000,71213640,71863640,726.42,593.447,2,,279.761,0,0,14/04/2019,01/09/2019,,20,,
4,Luxury Residential Building Development,8 units of 3bedroom apartments and 4 units of 2 bedroom apartments,Residential,1600000000,400000,1485000000,1486500000,1146.92,3672.2,8,3.4,,0,0,21/01/2020,03/08/2021,76,80,B,
6,Legislative and democratic studies Building Development,"A complex housing adm block, lecture thearter, Library, convention centre, main reception hall, ancillary buildings, canteens, Energy centre, water treatment station, sewage treatment plant, car parks, etc.",Institutional,36000000000,,54000000000,59000000000,83000,65455,,,,2,0,14/05/2018,08/05/2023,156,260,A,
7,Bank Development,"Twin Tower consisting office tower with multiple office unites, hotel tower, common areas and basements",Commercial,27075000000,,36100000000,45125000000,6000,28800,11,,,2,0,05/01/2020,01/02/2023,,156,A,
8,Residential Apartment Development,Block of 10 units of 3 bedroom residential apartments,Residential,,,241000000,252000000,901.067,1181.36,4,3,132.02,0,0,01/12/2014,01/01/2016,,56.57142857,,
9,Residential Development - Abraham Adesanya Estate,1 unit of 3 bedroom house,Residential,,,31607560,32000000,,100,1,3,100,0,0,10/12/2021,20/02/2022,6,7,,
10,Residential Terraces Development,3 units of 4 bedroom townhouses,Residential,,,130982806.3,132000000,,1263.19,4,3,129.45,0,0,02/05/2021,15/01/2022,,32,,
11,Residential Development,3 blocks of 4 bedroom fully detached duplexes,Residential,,,210253466.7,237897106.7,1398.38,696.93,2,3.05,321.21,0,0,01/09/2021,08/09/2022,36,48,,
12,Bank Development,Development of bank building,Commercial,,,201187100,205482300,,372,2,3,,0,0,10/07/2017,28/10/2019,46,48,,
13,Bank Development,Development of bank building,Commercial,,,168573933.3,169800000,,378.0502,2,3,189.0251,0,0,03/07/2020,23/04/2021,42,42,,
14,Bank Development,Development of bank building,Commercial,,,278226661,306049324.9,,748.16,2,,,0,0,21/09/2021,15/11/2022,52,60,,
15,Residential Apartment Development,1 unit of 2 bedroom apartment,Residential,,,18569800,18941196,,162,1,2.7,,0,0,03/02/2020,27/04/2020,10,12,,
16,Hotel Development Otta,,Hotel,,,157357200,180960780,,1311.31,5,3.3,287.07,1,127.26,15/05/2017,30/03/2018,32,40,,
17,Hospital,,Medical,,,4793250000,5478000000,,13695,4,,,0,0,05/05/2019,21/01/2023,152,180,,
18,School,,Educational,,,3448500000,4840000000,,12100,3,,,0,0,17/09/2020,02/03/2023,120,128,,
19,Residential Apartment Development,Apartment block of 6 units of 1 and 2 bedroom flats,Residential,,,182568480,182568480,,879.91,3,3,,0,0,18/04/2021,30/09/2021,20,20,,
20,Residential Development,Block of 8 units of 2 bedroom flats,Residential,,,264678700,272619061,,953.04,4,,,0,0,05/01/2020,16/08/2020,24,32,,
21,Residential Development,Block of 8 units of 3 bedroom flats with b/q,Residential,,,351284900,351284900,,1188.82,4,,,0,0,01/02/2018,01/11/2018,32,36,,
22,Luxury Residential Building Development,Block of luxury midrise apartments consisting units of 3 bedroom units with ground floor parking,Residential,580000000,,594325108,640682466.4,,2318.17,7,3.3,,0,0,05/09/2017,01/05/2019,72,80,,
23,Residential Development Ajah,Block of 6 units of 2 bedroom flats,Residential,,,145370355,145370355,,1167,3,,,0,0,08/04/2019,20/10/2019,20,24,,
24,"Residential Development, Marshy Hill Estate",Block of 1 & 2 bedroom apartments,Residential,,,121333304,123500000,,482,3,,,0,0,16/08/2016,17/02/2017,20,24,,
25,Office Development Ikoyi,,Commercial,,,32824360,50901320,928.17,468,2,,,0,0,03/05/2016,20/09/2016,12,16,,
26,Church Building Awoyaya,,Religious,,,12510240,13500000,662.54,231,1,,,0,0,05/12/2018,11/09/2019,32,40,,
27,Residential Development VGC,3 units of 4 bedroom fully detached duplexes,Residential,,,157690100,177097850,1398.38,696.93,2,,,0,0,11/03/2014,28/10/2014,20,28,,
28,Residential Development,Highrise Residential Development,Residential,,,448871777.6,505007041.8,,12653.7,12,3.3,1725,0,0,21/09/2018,21/04/2020,75,82.57142857,,
